Geography,Crime Category,Financial Year,Count
ZA,Contact Crimes,2011/2012,615935
ZA,Contact Crimes,2012/2013,608724
ZA,Contact Crimes,2013/2014,611574
ZA,Contact Crimes,2014/2015,616973
ZA,Contact Crimes,2015/2016,623223
ZA,Contact Crimes,2016/2017,608321
ZA,Contact Crimes,2017/2018,601366
ZA,Contact Crimes,2018/2019,617210
ZA,Contact Crimes,2019/2020,621282
ZA,Contact Crimes,2020/2021,535217
EC,Contact Crimes,2011/2012,75779
EC,Contact Crimes,2012/2013,72650
EC,Contact Crimes,2013/2014,73032
EC,Contact Crimes,2014/2015,68654
EC,Contact Crimes,2015/2016,67258
EC,Contact Crimes,2016/2017,65524
EC,Contact Crimes,2017/2018,65393
EC,Contact Crimes,2018/2019,68416
EC,Contact Crimes,2019/2020,68545
EC,Contact Crimes,2020/2021,59093
FS,Contact Crimes,2011/2012,47486
FS,Contact Crimes,2012/2013,48480
FS,Contact Crimes,2013/2014,45945
FS,Contact Crimes,2014/2015,42314
FS,Contact Crimes,2015/2016,41100
FS,Contact Crimes,2016/2017,37741
FS,Contact Crimes,2017/2018,35725
FS,Contact Crimes,2018/2019,36879
FS,Contact Crimes,2019/2020,36059
FS,Contact Crimes,2020/2021,31668
GT,Contact Crimes,2011/2012,160289
GT,Contact Crimes,2012/2013,153610
GT,Contact Crimes,2013/2014,160881
GT,Contact Crimes,2014/2015,167264
GT,Contact Crimes,2015/2016,172814
GT,Contact Crimes,2016/2017,171466
GT,Contact Crimes,2017/2018,170640
GT,Contact Crimes,2018/2019,174894
GT,Contact Crimes,2019/2020,177737
GT,Contact Crimes,2020/2021,151911
KZN,Contact Crimes,2011/2012,105443
KZN,Contact Crimes,2012/2013,105444
KZN,Contact Crimes,2013/2014,101983
KZN,Contact Crimes,2014/2015,98757
KZN,Contact Crimes,2015/2016,97870
KZN,Contact Crimes,2016/2017,95153
KZN,Contact Crimes,2017/2018,94914
KZN,Contact Crimes,2018/2019,97505
KZN,Contact Crimes,2019/2020,101154
KZN,Contact Crimes,2020/2021,88851
LIM,Contact Crimes,2011/2012,38826
LIM,Contact Crimes,2012/2013,36786
LIM,Contact Crimes,2013/2014,35953
LIM,Contact Crimes,2014/2015,37971
LIM,Contact Crimes,2015/2016,40391
LIM,Contact Crimes,2016/2017,36764
LIM,Contact Crimes,2017/2018,35068
LIM,Contact Crimes,2018/2019,35266
LIM,Contact Crimes,2019/2020,34780
LIM,Contact Crimes,2020/2021,31120
MP,Contact Crimes,2011/2012,36661
MP,Contact Crimes,2012/2013,33692
MP,Contact Crimes,2013/2014,31775
MP,Contact Crimes,2014/2015,31886
MP,Contact Crimes,2015/2016,32737
MP,Contact Crimes,2016/2017,33381
MP,Contact Crimes,2017/2018,32646
MP,Contact Crimes,2018/2019,34885
MP,Contact Crimes,2019/2020,35622
MP,Contact Crimes,2020/2021,31488
NW,Contact Crimes,2011/2012,36112
NW,Contact Crimes,2012/2013,36067
NW,Contact Crimes,2013/2014,34473
NW,Contact Crimes,2014/2015,35082
NW,Contact Crimes,2015/2016,35224
NW,Contact Crimes,2016/2017,35483
NW,Contact Crimes,2017/2018,36604
NW,Contact Crimes,2018/2019,37487
NW,Contact Crimes,2019/2020,36286
NW,Contact Crimes,2020/2021,31636
NC,Contact Crimes,2011/2012,18038
NC,Contact Crimes,2012/2013,18649
NC,Contact Crimes,2013/2014,18943
NC,Contact Crimes,2014/2015,18877
NC,Contact Crimes,2015/2016,18971
NC,Contact Crimes,2016/2017,18105
NC,Contact Crimes,2017/2018,17380
NC,Contact Crimes,2018/2019,17891
NC,Contact Crimes,2019/2020,17591
NC,Contact Crimes,2020/2021,15309
WC,Contact Crimes,2011/2012,97301
WC,Contact Crimes,2012/2013,103346
WC,Contact Crimes,2013/2014,108589
WC,Contact Crimes,2014/2015,116168
WC,Contact Crimes,2015/2016,116858
WC,Contact Crimes,2016/2017,114704
WC,Contact Crimes,2017/2018,112996
WC,Contact Crimes,2018/2019,113987
WC,Contact Crimes,2019/2020,113508
WC,Contact Crimes,2020/2021,94141
ZA,Sexual Offences,2011/2012,60539
ZA,Sexual Offences,2012/2013,60888
ZA,Sexual Offences,2013/2014,56680
ZA,Sexual Offences,2014/2015,53617
ZA,Sexual Offences,2015/2016,51895
ZA,Sexual Offences,2016/2017,49660
ZA,Sexual Offences,2017/2018,50108
ZA,Sexual Offences,2018/2019,52420
ZA,Sexual Offences,2019/2020,53293
ZA,Sexual Offences,2020/2021,46214
EC,Sexual Offences,2011/2012,9001
EC,Sexual Offences,2012/2013,9288
EC,Sexual Offences,2013/2014,9616
EC,Sexual Offences,2014/2015,9224
EC,Sexual Offences,2015/2016,8797
EC,Sexual Offences,2016/2017,8050
EC,Sexual Offences,2017/2018,8094
EC,Sexual Offences,2018/2019,8731
EC,Sexual Offences,2019/2020,8708
EC,Sexual Offences,2020/2021,7445
FS,Sexual Offences,2011/2012,4785
FS,Sexual Offences,2012/2013,5098
FS,Sexual Offences,2013/2014,4584
FS,Sexual Offences,2014/2015,4094
FS,Sexual Offences,2015/2016,3928
FS,Sexual Offences,2016/2017,3488
FS,Sexual Offences,2017/2018,3284
FS,Sexual Offences,2018/2019,3457
FS,Sexual Offences,2019/2020,3746
FS,Sexual Offences,2020/2021,2971
GT,Sexual Offences,2011/2012,11512
GT,Sexual Offences,2012/2013,11113
GT,Sexual Offences,2013/2014,10264
GT,Sexual Offences,2014/2015,9902
GT,Sexual Offences,2015/2016,9510
GT,Sexual Offences,2016/2017,9566
GT,Sexual Offences,2017/2018,10116
GT,Sexual Offences,2018/2019,10752
GT,Sexual Offences,2019/2020,10810
GT,Sexual Offences,2020/2021,9749
KZN,Sexual Offences,2011/2012,11034
KZN,Sexual Offences,2012/2013,10964
KZN,Sexual Offences,2013/2014,9889
KZN,Sexual Offences,2014/2015,9079
KZN,Sexual Offences,2015/2016,8947
KZN,Sexual Offences,2016/2017,8484
KZN,Sexual Offences,2017/2018,8759
KZN,Sexual Offences,2018/2019,9308
KZN,Sexual Offences,2019/2020,9809
KZN,Sexual Offences,2020/2021,8201
LIM,Sexual Offences,2011/2012,4836
LIM,Sexual Offences,2012/2013,4866
LIM,Sexual Offences,2013/2014,4423
LIM,Sexual Offences,2014/2015,4312
LIM,Sexual Offences,2015/2016,4369
LIM,Sexual Offences,2016/2017,3828
LIM,Sexual Offences,2017/2018,3862
LIM,Sexual Offences,2018/2019,4060
LIM,Sexual Offences,2019/2020,3990
LIM,Sexual Offences,2020/2021,3720
MP,Sexual Offences,2011/2012,3955
MP,Sexual Offences,2012/2013,4065
MP,Sexual Offences,2013/2014,3797
MP,Sexual Offences,2014/2015,3474
MP,Sexual Offences,2015/2016,3331
MP,Sexual Offences,2016/2017,3216
MP,Sexual Offences,2017/2018,3198
MP,Sexual Offences,2018/2019,3470
MP,Sexual Offences,2019/2020,3513
MP,Sexual Offences,2020/2021,3134
NW,Sexual Offences,2011/2012,4885
NW,Sexual Offences,2012/2013,5228
NW,Sexual Offences,2013/2014,4616
NW,Sexual Offences,2014/2015,4585
NW,Sexual Offences,2015/2016,4164
NW,Sexual Offences,2016/2017,4326
NW,Sexual Offences,2017/2018,4182
NW,Sexual Offences,2018/2019,4021
NW,Sexual Offences,2019/2020,3824
NW,Sexual Offences,2020/2021,3262
NC,Sexual Offences,2011/2012,1722
NC,Sexual Offences,2012/2013,1826
NC,Sexual Offences,2013/2014,1731
NC,Sexual Offences,2014/2015,1578
NC,Sexual Offences,2015/2016,1719
NC,Sexual Offences,2016/2017,1587
NC,Sexual Offences,2017/2018,1538
NC,Sexual Offences,2018/2019,1578
NC,Sexual Offences,2019/2020,1590
NC,Sexual Offences,2020/2021,1295
WC,Sexual Offences,2011/2012,8809
WC,Sexual Offences,2012/2013,8440
WC,Sexual Offences,2013/2014,7760
WC,Sexual Offences,2014/2015,7369
WC,Sexual Offences,2015/2016,7130
WC,Sexual Offences,2016/2017,7115
WC,Sexual Offences,2017/2018,7075
WC,Sexual Offences,2018/2019,7043
WC,Sexual Offences,2019/2020,7303
WC,Sexual Offences,2020/2021,6437
ZA,Aggravated Robberies,2011/2012,100769
ZA,Aggravated Robberies,2012/2013,105488
ZA,Aggravated Robberies,2013/2014,118963
ZA,Aggravated Robberies,2014/2015,129045
ZA,Aggravated Robberies,2015/2016,132527
ZA,Aggravated Robberies,2016/2017,140956
ZA,Aggravated Robberies,2017/2018,138364
ZA,Aggravated Robberies,2018/2019,140032
ZA,Aggravated Robberies,2019/2020,143990
ZA,Aggravated Robberies,2020/2021,119841
EC,Aggravated Robberies,2011/2012,12476
EC,Aggravated Robberies,2012/2013,11751
EC,Aggravated Robberies,2013/2014,13443
EC,Aggravated Robberies,2014/2015,13245
EC,Aggravated Robberies,2015/2016,12777
EC,Aggravated Robberies,2016/2017,13688
EC,Aggravated Robberies,2017/2018,13485
EC,Aggravated Robberies,2018/2019,13578
EC,Aggravated Robberies,2019/2020,13983
EC,Aggravated Robberies,2020/2021,11458
FS,Aggravated Robberies,2011/2012,5323
FS,Aggravated Robberies,2012/2013,5791
FS,Aggravated Robberies,2013/2014,5347
FS,Aggravated Robberies,2014/2015,5239
FS,Aggravated Robberies,2015/2016,4778
FS,Aggravated Robberies,2016/2017,5147
FS,Aggravated Robberies,2017/2018,5032
FS,Aggravated Robberies,2018/2019,5339
FS,Aggravated Robberies,2019/2020,5119
FS,Aggravated Robberies,2020/2021,3992
GT,Aggravated Robberies,2011/2012,35148
GT,Aggravated Robberies,2012/2013,35717
GT,Aggravated Robberies,2013/2014,42506
GT,Aggravated Robberies,2014/2015,47362
GT,Aggravated Robberies,2015/2016,49792
GT,Aggravated Robberies,2016/2017,53793
GT,Aggravated Robberies,2017/2018,51706
GT,Aggravated Robberies,2018/2019,52040
GT,Aggravated Robberies,2019/2020,53927
GT,Aggravated Robberies,2020/2021,44109
KZN,Aggravated Robberies,2011/2012,18417
KZN,Aggravated Robberies,2012/2013,19923
KZN,Aggravated Robberies,2013/2014,20957
KZN,Aggravated Robberies,2014/2015,20881
KZN,Aggravated Robberies,2015/2016,21061
KZN,Aggravated Robberies,2016/2017,22327
KZN,Aggravated Robberies,2017/2018,21543
KZN,Aggravated Robberies,2018/2019,22110
KZN,Aggravated Robberies,2019/2020,22824
KZN,Aggravated Robberies,2020/2021,20964
LIM,Aggravated Robberies,2011/2012,3652
LIM,Aggravated Robberies,2012/2013,3917
